"id","url","name","scrape_frequency","category","last_checked","paywall"
"1","https://www.ft.com/myft/following/173469ba-1454-4f68-a8f2-c6a129368205.rss","FT","2","news","2025-05-10 16:04:45.384","true"
"2","https://rss.nytimes.com/services/xml/rss/nyt/Economy.xml","NYT - Econonmy","2","economy","2025-05-10 16:04:45.384","true"
"3","https://ir.thomsonreuters.com/rss/news-releases.xml","Reuters","2","news","2025-05-10 20:05:28.09","false"
"4","https://decrypt.co/feed?_gl=1*1f8kqt0*_up*MQ..*_ga*MTU0OTYyMTg1Ny4xNzQ1NDU5NTk4*_ga_S6XJW9326S*MTc0NTQ1OTU5OC4xLjEuMTc0NTQ1OTU5OC4wLjAuMA..","Decrypt","2","crypto","2025-05-10 16:04:45.384","false"
"6","https://www.coindesk.com/arc/outboundfeeds/rss","Coindesk","2","crypto","2025-05-10 16:04:45.384","false"
"8","https://cointelegraph.com/rss-feeds","CoinTelegraph","2","crypto","2025-05-10 20:05:28.09","false"
"11","https://www.ccn.com/news/crypto-news/feeds/","CCN - Crypto","2","crypto","2025-05-10 16:04:45.384","false"
"12","https://www.ccn.com/rss-feeds/technology/","CCN - Tech","2","crypto","2025-05-10 17:04:33.109","false"
"13","https://www.ccn.com/rss-feeds/business/","CCN - Business","2","crypto","2025-05-10 16:04:45.384","false"
"14","https://bitcoinist.com/feed/","Bitcoinist","2","crypto","2025-05-10 16:04:45.384","false"
"15","https://feeds.content.dowjones.io/public/rss/RSSWorldNews","WSJ - World News","2","world news","2025-05-10 16:04:45.384","true"
"16","https://feeds.content.dowjones.io/public/rss/WSJcomUSBusiness","WSJ - US Business","2","us news","2025-05-10 16:04:45.384","true"
"17","https://feeds.content.dowjones.io/public/rss/RSSMarketsMain","WSJ - Markets","2","news","2025-05-10 16:04:45.384","true"
"18","https://feeds.content.dowjones.io/public/rss/RSSUSnews","WSJ - US","2","us news","2025-05-10 16:04:45.384","true"
"19","https://feeds.content.dowjones.io/public/rss/socialeconomyfeed","WSJ - Economy","2","economy","2025-05-10 16:04:45.384","true"
"20","https://feeds.content.dowjones.io/public/rss/latestnewsrealestate","WSJ - Real Estate","2","real estate","2025-05-10 16:04:45.384","true"
"21","https://feeds.content.dowjones.io/public/rss/RSSWSJD","WSJ - Tech","2","tech","2025-05-10 16:04:45.384","true"
